Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
CLCA4	HGNC:2018	CLCA4	chloride channel accessory 4	Predicted to enable intracellularly calcium-gated chloride channel activity. Predicted to be involved in monoatomic ion transmembrane transport. Predicted to act upstream of or within chloride transport. Predicted to be located in apical plasma membrane and extracellular region. Predicted to be active in plasma membrane.	MGI:2139790:Clca4b | MGI:2139744:Clca4a
CAV1	HGNC:1527	CAV1	caveolin 1	Enables several functions, including enzyme binding activity; inward rectifier potassium channel inhibitor activity; and transmembrane transporter binding activity. Involved in several processes, including endocytosis; regulation of protein modification process; and regulation of signal transduction. Acts upstream of or within response to estrogen and response to progesterone. Located in several cellular components, including basolateral plasma membrane; caveola; and focal adhesion. Part of protein-containing complex. Implicated in several diseases, including breast cancer (multiple); lipodystrophy (multiple); primary open angle glaucoma; primary pulmonary hypertension; and systemic scleroderma (multiple). Biomarker of several diseases, including acoustic neuroma; breast cancer (multiple); carcinoma (multiple); pulmonary hypertension; and systemic scleroderma.	MGI:102709:Cav1
MMP13	HGNC:7159	MMP13	matrix metallopeptidase 13	Enables collagen binding activity; metal ion binding activity; and metalloendopeptidase activity. Involved in bone morphogenesis; collagen catabolic process; and extracellular matrix disassembly. Predicted to be located in extracellular region. Predicted to be active in extracellular space. Implicated in anodontia; artery disease (multiple); bone disease (multiple); and ovarian carcinoma. Biomarker of invasive ductal carcinoma; reproductive organ cancer (multiple); and urinary bladder cancer.	MGI:1340026:Mmp13
GBP6	HGNC:25395	GBP6	guanylate binding protein family member 6	Predicted to enable GTP binding activity and GTPase activity. Predicted to be involved in cellular response to type II interferon; defense response to Gram-positive bacterium; and defense response to protozoan. Predicted to act upstream of or within adhesion of symbiont to host. Located in extracellular exosome.	MGI:2140937:Gbp6 | MGI:97072:Gbp4 | MGI:1923324:Gbp8 | MGI:3646307:Gbp11 | MGI:4359647:Gbp10 | MGI:3605620:Gbp9
SRGAP3	Multiple entries : 2
CSTA	HGNC:2481	CSTA	cystatin A	Enables cysteine-type endopeptidase inhibitor activity and protease binding activity. Involved in several processes, including keratinocyte differentiation; negative regulation of peptidase activity; and peptide cross-linking. Located in several cellular components, including cornified envelope; extracellular space; and nucleoplasm. Part of peptidase inhibitor complex. Implicated in peeling skin syndrome 4.	MGI:1924020:Csta2 | MGI:3696883:Cstdc5 | MGI:3648404:Cstdc3 | MGI:106198:Stfa1 | MGI:3645124:Cstdc4 | MGI:106197:Stfa2 | MGI:3524944:Stfa2l1 | MGI:3644688:Csta3 | MGI:106196:Stfa3 | MGI:3696881:Cstdc6 | MGI:3524930:Csta1
COL4A5	HGNC:2207	COL4A5	collagen type IV alpha 5 chain	An extracellular matrix structural constituent conferring tensile strength. Predicted to be involved in extracellular matrix organization. Predicted to act upstream of or within collagen-activated tyrosine kinase receptor signaling pathway and neuromuscular junction development. Located in collagen-containing extracellular matrix. Implicated in Alport syndrome and X-linked Alport syndrome.	MGI:88456:Col4a5
ADRB2	HGNC:286	ADRB2	adrenoceptor beta 2	Enables several functions, including amyloid-beta binding activity; beta2-adrenergic receptor activity; and norepinephrine binding activity. Involved in several processes, including AMPA selective glutamate receptor signaling pathway; positive regulation of macroautophagy; and regulation of signal transduction. Located in Golgi apparatus and plasma membrane. Part of receptor complex. Implicated in several diseases, including autoimmune disease (multiple); disease of metabolism (multiple); kidney failure (multiple); lung disease (multiple); and open-angle glaucoma (multiple). Biomarker of cholangiocarcinoma; chronic obstructive pulmonary disease; cystic fibrosis; and psoriasis.	MGI:87938:Adrb2
PKP1	HGNC:9023	PKP1	plakophilin 1	Enables DNA binding activity and lamin binding activity. Involved in intermediate filament bundle assembly; positive regulation of cell-cell adhesion; and positive regulation of macromolecule biosynthetic process. Located in several cellular components, including desmosome; nucleus; and perinuclear region of cytoplasm. Implicated in ectodermal dysplasia.	MGI:1328359:Pkp1
A4GALT	HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	Enables galactosyltransferase activity. Acts upstream of or within plasma membrane organization. Located in membrane.	MGI:3512453:A4galt
DENND2C	HGNC:24748	DENND2C	DENN domain containing 2C	Enables guanyl-nucleotide exchange factor activity. Located in nucleoplasm.	MGI:3036254:Dennd2c
KRT6C	Multiple entries : 2
TGM1	HGNC:11777	TGM1	transglutaminase 1	Enables identical protein binding activity and protein-glutamine gamma-glutamyltransferase activity. Involved in several processes, including keratinocyte differentiation; peptide cross-linking; and positive regulation of keratinocyte proliferation. Located in membrane. Implicated in autosomal recessive congenital ichthyosis 1.	MGI:98730:Tgm1
FSCN1	HGNC:11148	FSCN1	fascin actin-bundling protein 1	Enables actin filament binding activity. Involved in several processes, including microspike assembly; positive regulation of cellular component organization; and regulation of plasma membrane bounded cell projection assembly. Located in several cellular components, including actin cytoskeleton; microspike; and ruffle. Biomarker of cholangiocarcinoma; common bile duct neoplasm; pancreatic cancer; and pancreatic ductal carcinoma.	MGI:1352745:Fscn1
ST6GALNAC2	HGNC:10867	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	Enables alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity. Involved in protein O-linked glycosylation and protein sialylation. Predicted to be located in Golgi membrane.	MGI:107553:St6galnac2
CAPNS2	HGNC:16371	CAPNS2	calpain small subunit 2	Enables calcium-dependent cysteine-type endopeptidase activity. Predicted to be located in cytosol and plasma membrane. Predicted to be part of calpain complex.	MGI:1916793:Capns2
GJB2	HGNC:4284	GJB2	gap junction protein beta 2	Enables calcium ion binding activity; gap junction channel activity involved in cell communication by electrical coupling; and identical protein binding activity. Involved in gap junction assembly; gap junction-mediated intercellular transport; and transmembrane transport. Located in gap junction and plasma membrane. Part of connexin complex. Implicated in Bart-Pumphrey syndrome; Vohwinkel syndrome; autosomal dominant keratitis-ichthyosis-deafness syndrome; nonsyndromic deafness (multiple); and palmoplantar keratoderma-deafness syndrome.	MGI:95720:Gjb2
KRT15	HGNC:6421	KRT15	keratin 15	Enables scaffold protein binding activity. Predicted to be involved in epithelial cell differentiation and intermediate filament organization. Located in extracellular exosome and nucleus.	MGI:96689:Krt15
PADI3	HGNC:18337	PADI3	peptidyl arginine deiminase 3	Enables identical protein binding activity and protein-arginine deiminase activity. Located in cytosol and nucleoplasm.	MGI:1338891:Padi3
NIPAL4	HGNC:28018	NIPAL4	NIPA like domain containing 4	Predicted to enable magnesium ion transmembrane transporter activity. Predicted to be involved in magnesium ion transport. Predicted to be located in plasma membrane. Predicted to be active in membrane. Implicated in autosomal recessive congenital ichthyosis 6.	MGI:2444671:Nipal4
ACKR3	HGNC:23692	ACKR3	atypical chemokine receptor 3	Enables C-X-C chemokine binding activity; C-X-C chemokine receptor activity; and scavenger receptor activity. Involved in several processes, including chemokine-mediated signaling pathway; oculomotor nerve development; and regulation of intracellular signal transduction. Located in several cellular components, including cell surface; clathrin-coated pit; and endosome. Biomarker of clear cell renal cell carcinoma and laryngeal carcinoma.	MGI:109562:Ackr3
IL1A	HGNC:5991	IL1A	interleukin 1 alpha	Enables copper ion binding activity and cytokine activity. Involved in several processes, including positive regulation of interleukin-2 production; positive regulation of mitotic nuclear division; and response to copper ion. Located in cytosol and extracellular space. Implicated in several diseases, including Fabry disease; Schnitzler syndrome; autoimmune disease (multiple); hematologic cancer (multiple); and lung disease (multiple). Biomarker of several diseases, including autoimmune disease (multiple); cholesteatoma (multiple); common cold; cystic fibrosis; and osteoarthritis.	MGI:96542:Il1a
KLC3	HGNC:20717	KLC3	kinesin light chain 3	Predicted to enable kinesin binding activity. Predicted to be involved in sperm mitochondrial sheath assembly. Predicted to act upstream of or within axo-dendritic transport. Predicted to be located in mitochondrion. Predicted to be part of kinesin complex. Predicted to be active in cytoplasm.	MGI:1277971:Klc3
A2ML1	HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Enables peptidase inhibitor activity. Involved in regulation of endopeptidase activity. Located in extracellular space. Implicated in otitis media.	N.A.
PTPN13	HGNC:9646	PTPN13	protein tyrosine phosphatase non-receptor type 13	Enables phosphatidylinositol 3-kinase regulatory subunit binding activity and protein tyrosine phosphatase activity. Involved in negative regulation of protein phosphorylation; peptidyl-tyrosine dephosphorylation; and regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction. Located in several cellular components, including cytosol; lamellipodium; and nuclear lumen. Implicated in breast cancer; carcinoma (multiple); and colorectal cancer (multiple). Biomarker of gastric adenocarcinoma; lung adenocarcinoma; lung large cell carcinoma; lung squamous cell carcinoma; and oral squamous cell carcinoma.	MGI:103293:Ptpn13
CNTNAP3	HGNC:13834	CNTNAP3	contactin associated protein family member 3	Predicted to be involved in cell adhesion. Predicted to be located in extracellular region and plasma membrane. Predicted to be active in axon and perikaryon.	MGI:3588199:Cntnap3
TLR2	HGNC:11848	TLR2	toll like receptor 2	Enables several functions, including amyloid-beta binding activity; lipopolysaccharide binding activity; and peptidoglycan binding activity. Involved in several processes, including defense response to other organism; positive regulation of cytokine production; and positive regulation of defense response. Acts upstream of or within positive regulation of NF-kappaB transcription factor activity and response to molecule of bacterial origin. Located in several cellular components, including Golgi apparatus; cell surface; and membrane raft. Part of Toll-like receptor 1-Toll-like receptor 2 protein complex and Toll-like receptor 2-Toll-like receptor 6 protein complex. Implicated in several diseases, including autoimmune disease (multiple); dermatitis (multiple); gastrointestinal system cancer (multiple); lung disease (multiple); and rhinitis (multiple). Biomarker of several diseases, including autoimmune disease (multiple); eye disease (multiple); lung disease (multiple); middle ear disease (multiple); and nose disease (multiple).	MGI:1346060:Tlr2
FAM126A	HGNC:24587	HYCC1	hyccin PI4KA lipid kinase complex subunit 1	Involved in phosphatidylinositol phosphate biosynthetic process and protein localization to plasma membrane. Located in cytosol and plasma membrane. Implicated in hypomyelinating leukodystrophy 5.	MGI:2149839:Hycc1
EDARADD	HGNC:14341	EDARADD	EDAR associated via death domain	Predicted to enable magnesium ion binding activity and phosphopyruvate hydratase activity. Predicted to be involved in cell differentiation; glycolytic process; and signal transduction. Predicted to act upstream of or within hair follicle development; odontogenesis of dentin-containing tooth; and trachea gland development. Predicted to be located in cytosol. Predicted to be part of phosphopyruvate hydratase complex. Implicated in ectodermal dysplasia 11A and ectodermal dysplasia 11B.	MGI:1931001:Edaradd
KRT4	HGNC:6441	KRT4	keratin 4	Predicted to be a structural constituent of skin epidermis. Involved in cytoskeleton organization. Located in cell surface and keratin filament. Implicated in white sponge nevus 1.	MGI:96701:Krt4
ANKRD65	HGNC:42950	ANKRD65	ankyrin repeat domain 65	No description available	MGI:2685285:Ankrd65
TNFRSF18	HGNC:11914	TNFRSF18	TNF receptor superfamily member 18	Predicted to enable tumor necrosis factor receptor activity. Involved in positive regulation of cell adhesion; positive regulation of leukocyte migration; and positive regulation of tyrosine phosphorylation of STAT protein. Predicted to be located in plasma membrane. Predicted to be active in external side of plasma membrane. Biomarker of anogenital venereal wart and tropical spastic paraparesis.	MGI:894675:Tnfrsf18
KRT17	HGNC:6427	KRT17	keratin 17	Predicted to enable structural molecule activity. Predicted to be involved in epithelial cell differentiation; hair follicle morphogenesis; and intermediate filament organization. Predicted to act upstream of or within keratinization and morphogenesis of an epithelium. Located in intermediate filament cytoskeleton. Implicated in ectodermal dysplasia; pachyonychia congenita; and steatocystoma multiplex.	MGI:96691:Krt17
RHOV	HGNC:18313	RHOV	ras homolog family member V	Predicted to enable GTP binding activity; GTPase activity; and protein kinase binding activity. Predicted to be involved in several processes, including Cdc42 protein signal transduction; actin filament organization; and endocytosis. Predicted to be located in endosome membrane. Predicted to be active in plasma membrane.	MGI:2444227:Rhov
RAB38	HGNC:9776	RAB38	RAB38, member RAS oncogene family	Enables several functions, including AP-1 adaptor complex binding activity; AP-3 adaptor complex binding activity; and BLOC-2 complex binding activity. Involved in several processes, including endosome to melanosome transport; melanosome assembly; and phagosome acidification. Located in several cellular components, including cytoplasmic vesicle; lysosome; and mitochondria-associated endoplasmic reticulum membrane contact site.	MGI:1919683:Rab38
BASP1	HGNC:957	BASP1	brain abundant membrane attached signal protein 1	Enables calmodulin binding activity; protein domain specific binding activity; and transcription corepressor activity. Involved in negative regulation of DNA-templated transcription; protein homooligomerization; and supramolecular fiber organization. Located in several cellular components, including cell junction; nucleus; and plasma membrane.	MGI:1917600:Basp1
SLC1A3	HGNC:10941	SLC1A3	solute carrier family 1 member 3	Enables high-affinity L-glutamate transmembrane transporter activity. Involved in amino acid import across plasma membrane and monoatomic ion transmembrane transport. Located in plasma membrane. Implicated in episodic ataxia type 6.	MGI:99917:Slc1a3
MCC	HGNC:6935	MCC	MCC regulator of WNT signaling pathway	Predicted to enable signaling receptor activity. Involved in several processes, including negative regulation of canonical Wnt signaling pathway; negative regulation of epithelial cell migration; and negative regulation of epithelial cell proliferation. Located in cytosol; nucleoplasm; and plasma membrane. Implicated in colorectal cancer.	MGI:96930:Mcc
MT2A	HGNC:7406	MT2A	metallothionein 2A	Predicted to enable zinc ion binding activity. Involved in cellular response to erythropoietin; cellular response to interleukin-3; and cellular response to zinc ion. Predicted to be located in cytosol. Predicted to be active in cytoplasm and nucleus. Implicated in carotid stenosis and type 2 diabetes mellitus. Biomarker of psychotic disorder and senile cataract.	MGI:97172:Mt2
MT1X	HGNC:7405	MT1X	metallothionein 1X	Predicted to enable copper ion binding activity and zinc ion binding activity. Involved in cellular response to cadmium ion; cellular response to erythropoietin; and cellular response to zinc ion. Located in cytoplasm and nucleus.	MGI:97171:Mt1 | MGI:97172:Mt2
NGFR	HGNC:7809	NGFR	nerve growth factor receptor	Enables several functions, including calmodulin binding activity; coreceptor activity; and ubiquitin protein ligase binding activity. Involved in several processes, including cellular response to amyloid-beta; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis; and positive regulation of macromolecule metabolic process. Located in nucleoplasm and plasma membrane. Implicated in Alzheimer's disease and depressive disorder. Biomarker of several diseases, including Hirschsprung's disease; Lewy body dementia; artery disease (multiple); multiple sclerosis; and neurodegenerative disease (multiple).	MGI:97323:Ngfr
PYGL	HGNC:9725	PYGL	glycogen phosphorylase L	Enables several functions, including D-glucose binding activity; glycogen phosphorylase activity; and heterocyclic compound binding activity. Involved in glucose homeostasis and glycogen metabolic process. Located in extracellular exosome. Implicated in glycogen storage disease; glycogen storage disease VI; and lactic acidosis.	MGI:97829:Pygl
CAPN14	HGNC:16664	CAPN14	calpain 14	Predicted to enable calcium-dependent cysteine-type endopeptidase activity. Predicted to be involved in proteolysis. Predicted to be active in cytoplasm. Implicated in eosinophilic esophagitis. Biomarker of eosinophilic esophagitis.	N.A.
CD109	HGNC:21685	CD109	CD109 molecule	Predicted to enable serine-type endopeptidase inhibitor activity. Involved in negative regulation of transforming growth factor beta receptor signaling pathway and negative regulation of wound healing. Located in cytosol and plasma membrane.	MGI:2445221:Cd109
