# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 7.4.0
# Date file generated (UTC): 2024-10-09 18:31
Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
CERKL	HGNC:21699	CERKL	ceramide kinase like	Predicted to enable lipid kinase activity. Involved in negative regulation of apoptotic process. Located in several cellular components, including Golgi apparatus; endoplasmic reticulum; and nuclear lumen. Implicated in retinitis pigmentosa and retinitis pigmentosa 26.	MGI:3037816:Cerkl
C9orf116	HGNC:28435	PIERCE1	piercer of microtubule wall 1	Predicted to be involved in axoneme assembly; establishment of left/right asymmetry; and flagellated sperm motility. Predicted to act upstream of or within DNA damage response; cellular response to UV-C; and regulation of gene expression. Located in axonemal microtubule.	MGI:1916577:Pierce1
CASC1	HGNC:29599	DNAI7	dynein axonemal intermediate chain 7	Predicted to enable beta-tubulin binding activity and microtubule binding activity. Predicted to be located in cilium and microtubule cytoskeleton. Predicted to be part of axonemal dynein complex. Predicted to be active in axoneme and cytoplasmic microtubule.	MGI:2444480:Dnai7
MAK	Multiple entries : 2
PLA2G16	HGNC:17825	PLAAT3	phospholipase A and acyltransferase 3	Enables N-acyltransferase activity; lipid binding activity; and phospholipase activity. Involved in N-acylphosphatidylethanolamine metabolic process. Predicted to be located in several cellular components, including lysosome; nuclear envelope; and peroxisome. Predicted to be active in cytoplasm. Biomarker of seminoma.	MGI:2179715:Plaat3
DRC7	HGNC:25289	DRC7	dynein regulatory complex subunit 7	Predicted to be involved in sperm axoneme assembly. Located in cytoplasm.	MGI:2685616:Drc7
BATF2	HGNC:25163	BATF2	basic leucine zipper ATF-like transcription factor 2	Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in defense response to protozoan; myeloid dendritic cell differentiation; and regulation of transcription by RNA polymerase II. Part of RNA polymerase II transcription regulator complex.	MGI:1921731:Batf2
DNAI1	HGNC:2954	DNAI1	dynein axonemal intermediate chain 1	Predicted to enable dynein heavy chain binding activity and dynein light chain binding activity. Acts upstream of or within determination of left/right symmetry; flagellated sperm motility; and outer dynein arm assembly. Located in cilium. Part of outer dynein arm. Implicated in Kartagener syndrome and primary ciliary dyskinesia 1.	MGI:1916172:Dnai1
RSPH1	HGNC:12371	RSPH1	radial spoke head component 1	Involved in axoneme assembly. Located in motile cilium. Implicated in colorectal adenocarcinoma and primary ciliary dyskinesia 24.	MGI:1194909:Rsph1
MFI2	HGNC:7037	MELTF	melanotransferrin	Enables iron ion binding activity. Involved in several processes, including negative regulation of substrate adhesion-dependent cell spreading; positive regulation of extracellular matrix disassembly; and positive regulation of plasminogen activation. Located in cell surface and plasma membrane.	MGI:1353421:Meltf
ARMC3	HGNC:30964	ARMC3	armadillo repeat containing 3	Predicted to be involved in flagellated sperm motility; ribophagy; and spermatid development. Located in extracellular exosome.	MGI:1918132:Armc3
LY75	Multiple entries : 2
CCDC173	HGNC:25064	CFAP210	cilia and flagella associated protein 210	Predicted to be involved in flagellated sperm motility. Located in axonemal microtubule.	MGI:1923100:Cfap210
TMEM169	HGNC:25130	TMEM169	transmembrane protein 169	Predicted to be located in membrane.	MGI:2442781:Tmem169
CCDC103	HGNC:32700	CCDC103	coiled-coil domain containing 103	Enables protein homodimerization activity. Involved in axonemal dynein complex assembly; cilium movement; and determination of left/right symmetry. Predicted to be located in axoneme. Predicted to be part of outer dynein arm. Implicated in primary ciliary dyskinesia 17.	MGI:1920543:Ccdc103
GINS2	HGNC:24575	GINS2	GINS complex subunit 2	Involved in DNA unwinding involved in DNA replication. Part of CMG complex and GINS complex.	MGI:1921019:Gins2
PRR29	HGNC:25673	PRR29	proline rich 29	No description available	MGI:1922823:Prr29
KLK6	Multiple entries : 2
TCTEX1D2	HGNC:28482	DYNLT2B	dynein light chain Tctex-type 2B	Enables dynein intermediate chain binding activity. Involved in cilium organization; regulation of cilium assembly; and regulation of intraciliary retrograde transport. Located in ciliary base and cytoskeleton. Part of cytoplasmic dynein complex. Implicated in asphyxiating thoracic dystrophy.	MGI:1913311:Dynlt2b
CDA	HGNC:1712	CDA	cytidine deaminase	Enables several functions, including cytidine deaminase activity; protein homodimerization activity; and zinc ion binding activity. Involved in cytidine deamination; negative regulation of cell growth; and negative regulation of nucleotide metabolic process. Located in cytosol. Implicated in lung non-small cell carcinoma. Biomarker of stomach cancer.	MGI:1919519:Cda
RAB36	HGNC:9775	RAB36	RAB36, member RAS oncogene family	Predicted to enable GTP binding activity and GTPase activity. Predicted to be involved in vesicle-mediated transport. Predicted to be located in Golgi membrane.	MGI:1924127:Rab36
ANKRD1	HGNC:15819	ANKRD1	ankyrin repeat domain 1	Enables several functions, including R-SMAD binding activity; histone deacetylase binding activity; and p53 binding activity. Involved in several processes, including cellular response to cytokine stimulus; cellular response to mechanical stimulus; and positive regulation of DNA damage response, signal transduction by p53 class mediator. Located in cytosol; fibrillar center; and nucleoplasm. Implicated in congenital structural myopathy; dilated cardiomyopathy; hypertrophic cardiomyopathy; nemaline myopathy; and spinal muscular atrophy.	MGI:1097717:Ankrd1
MMP7	HGNC:7174	MMP7	matrix metallopeptidase 7	Enables endopeptidase activity and metallopeptidase activity. Involved in positive regulation of cell migration and proteolysis. Acts upstream of or within membrane protein ectodomain proteolysis and membrane protein intracellular domain proteolysis. Located in extracellular exosome. Biomarker of endometrial cancer; endometrial hyperplasia; glioblastoma; and lung non-small cell carcinoma.	MGI:103189:Mmp7
CFAP206	HGNC:21405	CFAP206	cilia and flagella associated protein 206	Predicted to be involved in regulation of cilium beat frequency; regulation of flagellated sperm motility; and sperm axoneme assembly. Predicted to be located in A axonemal microtubule and motile cilium. Predicted to be part of radial spoke. Predicted to be active in axoneme and ciliary basal body.	MGI:1916579:Cfap206
CFAP157	HGNC:27843	CFAP157	cilia and flagella associated protein 157	Predicted to enable microtubule binding activity. Predicted to be involved in sperm axoneme assembly. Located in cytosol; intracellular membrane-bounded organelle; and plasma membrane.	MGI:2447809:Cfap157
TTC25	HGNC:25280	ODAD4	outer dynein arm docking complex subunit 4	Involved in epithelial cilium movement involved in extracellular fluid movement; outer dynein arm assembly; and protein localization to motile cilium. Located in 9+2 motile cilium and axoneme. Part of outer dynein arm docking complex. Implicated in primary ciliary dyskinesia 35.	MGI:1921657:Odad4
MYBL1	HGNC:7547	MYBL1	MYB proto-oncogene like 1	Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in positive regulation of transcription by RNA polymerase II. Located in nucleoplasm.	MGI:99925:Mybl1
DCBLD2	HGNC:24627	DCBLD2	discoidin, CUB and LCCL domain containing 2	Predicted to enable signaling receptor activity. Involved in negative regulation of cell growth and wound healing. Located in cell surface and plasma membrane.	MGI:1920629:Dcbld2
ALPP	HGNC:439	ALPP	alkaline phosphatase, placental	Enables alkaline phosphatase activity. Located in cell surface and plasma membrane.	MGI:1924018:Alpi
NRP2	Multiple entries : 2
EFHC2	HGNC:26233	EFHC2	EF-hand domain containing 2	Predicted to enable calcium ion binding activity. Predicted to be involved in flagellated sperm motility and regulation of neuron projection development. Predicted to act upstream of or within cellular response to leukemia inhibitory factor. Located in axonemal microtubule and ciliary basal body.	MGI:1921655:Efhc2
TTLL9	HGNC:16118	TTLL9	tubulin tyrosine ligase like 9	Predicted to enable tubulin binding activity and tubulin-glutamic acid ligase activity. Predicted to be involved in microtubule cytoskeleton organization. Predicted to act upstream of or within flagellated sperm motility and protein polyglutamylation. Predicted to be located in cytoplasm; microtubule cytoskeleton; and motile cilium. Predicted to be active in cilium.	MGI:1913589:Ttll9
HRASLS2	HGNC:17824	PLAAT2	phospholipase A and acyltransferase 2	Enables N-acyltransferase activity; phospholipase A1 activity; and phospholipase A2 activity. Involved in N-acylphosphatidylethanolamine metabolic process. Predicted to be located in cytosol. Predicted to be active in cytoplasm.	N.A.
ENKUR	HGNC:28388	ENKUR	enkurin, TRPC channel interacting protein	Predicted to enable calmodulin binding activity. Involved in establishment of left/right asymmetry. Located in 9+2 motile cilium and axonemal microtubule.	MGI:1918483:Enkur
CFAP57	HGNC:26485	CFAP57	cilia and flagella associated protein 57	Predicted to act upstream of or within axonemal dynein complex assembly; single fertilization; and sperm flagellum assembly. Predicted to be located in cell projection; cytoplasm; and cytoskeleton. Predicted to be active in sperm flagellum. Implicated in spermatogenic failure 95.	MGI:2686209:Cfap57
VSTM2L	HGNC:16096	VSTM2L	V-set and transmembrane domain containing 2 like	Involved in negative regulation of neuron apoptotic process. Located in cytoplasm and extracellular region.	MGI:2685537:Vstm2l
OAS2	HGNC:8087	OAS2	2'-5'-oligoadenylate synthetase 2	Enables 2'-5'-oligoadenylate synthetase activity; ATP binding activity; and double-stranded RNA binding activity. Involved in interleukin-27-mediated signaling pathway; positive regulation of interferon-beta production; and positive regulation of tumor necrosis factor production. Located in perinuclear region of cytoplasm.	MGI:2180852:Oas2
CFAP70	HGNC:30726	CFAP70	cilia and flagella associated protein 70	Predicted to be involved in cilium assembly and cilium movement. Predicted to act upstream of or within several processes, including homeostasis of number of cells; single fertilization; and spermatid development. Located in ciliary basal body and sperm flagellum. Part of outer dynein arm. Implicated in spermatogenic failure 41.	MGI:1923920:Cfap70
AMIGO2	HGNC:24073	AMIGO2	adhesion molecule with Ig like domain 2	Predicted to be involved in several processes, including heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules; homophilic cell adhesion via plasma membrane adhesion molecules; and negative regulation of programmed cell death. Predicted to act upstream of or within positive regulation of synapse assembly. Predicted to be located in nucleus and plasma membrane. Predicted to be active in membrane. Biomarker of gastric adenocarcinoma.	MGI:2145995:Amigo2
PIFO	HGNC:27009	CIMAP3	ciliary microtubule associated protein 3	Enables cytoskeletal protein binding activity and enzyme binding activity. Involved in positive regulation of kinase activity. Predicted to be located in ciliary basal body and trans-Golgi network.	MGI:1923670:Cimap3
DKK1	HGNC:2891	DKK1	dickkopf WNT signaling pathway inhibitor 1	Enables co-receptor binding activity; low-density lipoprotein particle receptor binding activity; and receptor antagonist activity. Involved in several processes, including regulation of cell fate specification; regulation of gene expression; and regulation of signal transduction. Located in extracellular space and plasma membrane. Implicated in anodontia.	MGI:1329040:Dkk1
TGM2	HGNC:11778	TGM2	transglutaminase 2	Enables several functions, including GTP binding activity; N-acyltransferase activity; and protein-glutamine gamma-glutamyltransferase activity. Involved in several processes, including cellular response to cocaine; cellular response to monoamine stimulus; and intracellular calcium ion homeostasis. Acts upstream of with a positive effect on dopamine secretion and gene expression. Located in several cellular components, including chromatin; mitochondrion; and perinuclear region of cytoplasm. Part of nucleosome.	MGI:98731:Tgm2
CKLF-CMTM1	HGNC:39977	CKLF-CMTM1	CKLF-CMTM1 readthrough	Predicted to be located in membrane.	N.A.
CTC-236F12.4	not found
LRRC46	HGNC:25047	LRRC46	leucine rich repeat containing 46	No description available	MGI:1916547:Lrrc46
MLF1	HGNC:7125	MLF1	myeloid leukemia factor 1	Enables protein domain specific binding activity. Acts upstream of with a positive effect on regulation of signal transduction by p53 class mediator. Acts upstream of with a negative effect on regulation of cell cycle G1/S phase transition. Located in perinuclear region of cytoplasm.	MGI:1341819:Mlf1
LRRIQ1	HGNC:25708	LRRIQ1	leucine rich repeats and IQ motif containing 1	Predicted to be involved in regulation of signal transduction.	MGI:1922228:Lrriq1
PHACTR3	HGNC:15833	PHACTR3	phosphatase and actin regulator 3	Predicted to enable actin binding activity. Predicted to be involved in actin cytoskeleton organization. Located in nucleoplasm.	MGI:1921439:Phactr3
DNAAF3	HGNC:30492	DNAAF3	dynein axonemal assembly factor 3	Involved in axonemal dynein complex assembly and motile cilium assembly. Predicted to be located in dynein axonemal particle. Implicated in primary ciliary dyskinesia 2.	MGI:3588207:Dnaaf3
E2F7	HGNC:23820	E2F7	E2F transcription factor 7	Enables DNA-binding transcription repressor activity; cis-regulatory region sequence-specific DNA binding activity; and identical protein binding activity. Involved in DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest; regulation of transcription by RNA polymerase II; and sprouting angiogenesis. Located in nuclear speck.	MGI:1289147:E2f7
DNAH7	HGNC:18661	DNAH7	dynein axonemal heavy chain 7	Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Acts upstream of or within cilium movement and inner dynein arm assembly. Located in cilium and cytosol. Part of inner dynein arm. Implicated in primary ciliary dyskinesia.	MGI:3639762:Dnah7c | MGI:2685838:Dnah7a | MGI:2684953:Dnah7b
C2orf54	HGNC:26216	MAB21L4	mab-21 like 4	No description available	MGI:1919124:Mab21l4
NMU	HGNC:7859	NMU	neuromedin U	Enables type 1 neuromedin U receptor binding activity and type 2 neuromedin U receptor binding activity. Involved in neuropeptide signaling pathway. Predicted to be located in extracellular region. Predicted to be active in terminal bouton. Implicated in obesity.	MGI:1860476:Nmu
TNNI2	HGNC:11946	TNNI2	troponin I2, fast skeletal type	Enables troponin T binding activity. Contributes to actin binding activity. Involved in positive regulation of DNA-templated transcription and skeletal muscle contraction. Located in nucleus. Part of troponin complex. Implicated in arthrogryposis multiplex congenita and distal arthrogryposis type 2B1.	MGI:105070:Tnni2
SPAG8	HGNC:14105	SPAG8	sperm associated antigen 8	Predicted to enable microtubule binding activity. Predicted to be involved in flagellated sperm motility and positive regulation of transcription by RNA polymerase II. Located in axonemal microtubule.	MGI:3056295:Spag8
WDR63	HGNC:30711	DNAI3	dynein axonemal intermediate chain 3	Enables Arp2/3 complex binding activity. Involved in negative regulation of Arp2/3 complex-mediated actin nucleation and negative regulation of cell migration. Located in cytoplasm.	MGI:3045269:Dnai3
MNS1	HGNC:29636	MNS1	meiosis specific nuclear structural 1	Enables identical protein binding activity. Predicted to be involved in cilium organization and flagellated sperm motility. Predicted to act upstream of or within left/right axis specification. Located in axonemal microtubule. Implicated in visceral heterotaxy.	MGI:107933:Mns1
FRMD5	HGNC:28214	FRMD5	FERM domain containing 5	Enables integrin binding activity and protein kinase binding activity. Involved in negative regulation of cell motility; positive regulation of cell adhesion; and regulation of cell migration. Located in adherens junction. Implicated in neurodevelopmental disorder with eye movement abnormalities and ataxia.	MGI:2442557:Frmd5
ANXA9	HGNC:547	ANXA9	annexin A9	Enables acetylcholine receptor activity and phosphatidylserine binding activity. Involved in cell-cell adhesion. Located in cell surface and cytosol.	MGI:1923711:Anxa9
C9orf24	HGNC:19919	SPMIP6	sperm microtubule inner protein 6	Predicted to enable alpha-tubulin binding activity. Predicted to be involved in cell differentiation; flagellated sperm motility; and spermatogenesis. Predicted to act upstream of or within protein-containing complex assembly. Located in cytosol; nucleoplasm; and perinuclear region of cytoplasm.	MGI:1920971:Spmip6
SLC4A11	HGNC:16438	SLC4A11	solute carrier family 4 member 11	Enables several functions, including active borate transmembrane transporter activity; monoatomic cation channel activity; and water transmembrane transporter activity. Involved in several processes, including bicarbonate transport; cellular hypotonic response; and monoatomic cation transport. Located in apical plasma membrane and basolateral plasma membrane. Implicated in Fuchs' endothelial dystrophy; congenital hereditary endothelial dystrophy of cornea; and corneal dystrophy-perceptive deafness syndrome.	MGI:2138987:Slc4a11
IFIT1	HGNC:5407	IFIT1	interferon induced protein with tetratricopeptide repeats 1	Enables RNA binding activity. Involved in several processes, including cellular response to exogenous dsRNA; innate immune response; and regulation of viral genome replication. Located in cytosol.	MGI:2148249:Ifit1bl2 | MGI:3650685:Ifit1bl1 | MGI:99450:Ifit1
L1CAM	HGNC:6470	L1CAM	L1 cell adhesion molecule	Enables protein domain specific binding activity. Involved in several processes, including axon guidance; cell-matrix adhesion; and synapse organization. Located in several cellular components, including axon; cell surface; and neuronal cell body. Implicated in MASA syndrome; hydrocephalus; ovarian carcinoma; pancreatic cancer; and schizophrenia. Biomarker of several diseases, including bipolar disorder; carcinoma (multiple); colorectal cancer; glioblastoma; and pheochromocytoma.	MGI:96721:L1cam
WNT10A	HGNC:13829	WNT10A	Wnt family member 10A	Enables receptor ligand activity. Involved in several processes, including cellular response to transforming growth factor beta stimulus; hair follicle morphogenesis; and tongue development. Predicted to be located in extracellular region. Predicted to be active in extracellular space. Implicated in Schopf-Schulz-Passarge syndrome; ectodermal dysplasia; and tooth agenesis.	MGI:108071:Wnt10a
CFAP61	HGNC:15872	CFAP61	cilia and flagella associated protein 61	Involved in sperm flagellum assembly. Predicted to be located in radial spoke stalk and sperm flagellum. Implicated in spermatogenic failure 84.	MGI:1926024:Cfap61
DMBX1	HGNC:19026	DMBX1	diencephalon/mesencephalon homeobox 1	Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in brain development; developmental growth; and regulation of DNA-templated transcription. Predicted to act upstream of or within adult feeding behavior; adult locomotory behavior; and negative regulation of transcription by RNA polymerase II. Predicted to be located in chromatin. Predicted to be part of transcription regulator complex.	MGI:2153518:Dmbx1
TTC16	HGNC:26536	TTC16	tetratricopeptide repeat domain 16	No description available	MGI:2443048:Ttc16
CCDC74B	HGNC:25267	CCDC74B	coiled-coil domain containing 74B	No description available	MGI:1919565:Ccdc74a
KCNH3	HGNC:6252	KCNH3	potassium voltage-gated channel subfamily H member 3	Enables inward rectifier potassium channel activity. Involved in potassium ion transport. Predicted to be located in membrane. Predicted to be part of monoatomic ion channel complex. Predicted to be active in plasma membrane.	MGI:1341723:Kcnh3
KRT86	HGNC:6463	KRT86	keratin 86	Predicted to be a structural constituent of skin epidermis. Predicted to be involved in intermediate filament organization and keratinization. Located in extracellular space. Part of keratin filament. Implicated in hair disease and monilethrix.	MGI:3665486:Krt87 | MGI:109362:Krt86
TMEM139	HGNC:22058	TMEM139	transmembrane protein 139	Predicted to be located in membrane.	MGI:1924444:Tmem139
ZNF474	Multiple entries : 2
KLK10	HGNC:6358	KLK10	kallikrein related peptidase 10	Predicted to enable serine-type peptidase activity. Predicted to be involved in proteolysis. Predicted to be located in extracellular region. Predicted to be active in secretory granule. Implicated in prostate cancer. Biomarker of ductal carcinoma in situ; ovarian cancer; and uterine cancer.	MGI:1916790:Klk10
HCAR1	HGNC:4532	HCAR1	hydroxycarboxylic acid receptor 1	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be active in plasma membrane.	MGI:2441671:Hcar1
ZBP1	Multiple entries : 2
BIRC3	HGNC:591	BIRC3	baculoviral IAP repeat containing 3	Enables ubiquitin-protein transferase activity. Involved in positive regulation of protein ubiquitination; regulation of apoptotic process; and regulation of necroptotic process. Located in cytosol and nucleoplasm. Implicated in colorectal carcinoma; esophagus adenocarcinoma; extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue; hepatocellular carcinoma; and lung non-small cell carcinoma. Biomarker of carcinoma (multiple); gastrointestinal system cancer (multiple); and metabolic dysfunction-associated steatohepatitis.	MGI:1197007:Birc3
DNAAF1	HGNC:30539	DNAAF1	dynein axonemal assembly factor 1	Enables dynein complex binding activity. Involved in several processes, including cilium assembly; determination of left/right symmetry; and regulation of cilium beat frequency. Located in several cellular components, including axoneme; cytosol; and nuclear speck. Implicated in primary ciliary dyskinesia 13.	MGI:1915520:Dnaaf1
AQP6	HGNC:639	AQP6	aquaporin 6	Enables water channel activity. Involved in odontogenesis and renal water transport. Predicted to be located in cytoplasmic vesicle membrane. Predicted to be active in apical plasma membrane.	MGI:1341204:Aqp6
PMAIP1	HGNC:9108	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	Involved in several processes, including cellular response to glucose starvation; positive regulation of release of cytochrome c from mitochondria; and positive regulation of signal transduction. Acts upstream of or within apoptotic process. Located in cytosol; mitochondrion; and nucleus. Part of Bcl-2 family protein complex.	MGI:1930146:Pmaip1
CRIP2	HGNC:2361	CRIP2	cysteine rich protein 2	Predicted to enable zinc ion binding activity. Predicted to act upstream of or within hemopoiesis and positive regulation of cell population proliferation. Predicted to be located in cell cortex.	MGI:1915587:Crip2
SLC2A6	HGNC:11011	SLC2A6	solute carrier family 2 member 6	Predicted to enable dehydroascorbic acid transmembrane transporter activity and fructose transmembrane transporter activity. Involved in regulation of glycolytic process. Located in lysosomal membrane.	MGI:2443286:Slc2a6
KLK8	Multiple entries : 2
MYOM3	HGNC:26679	MYOM3	myomesin 3	Predicted to enable protein homodimerization activity. Predicted to be involved in sarcomere organization. Predicted to be located in M band.	MGI:2685280:Myom3
KLK7	Multiple entries : 2
CLDN9	HGNC:2051	CLDN9	claudin 9	Enables virus receptor activity. Predicted to be involved in bicellular tight junction assembly and calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules. Predicted to act upstream of or within tight junction organization. Located in cell junction; intracellular membrane-bounded organelle; and plasma membrane. Implicated in autosomal recessive nonsyndromic deafness 116.	MGI:1913100:Cldn9
CCL18	HGNC:10616	CCL18	C-C motif chemokine ligand 18	Predicted to enable CCR chemokine receptor binding activity and chemokine activity. Involved in antimicrobial humoral immune response mediated by antimicrobial peptide. Predicted to be located in extracellular region. Predicted to be active in extracellular space.	MGI:98260:Ccl3
MORN3	HGNC:29807	MORN3	MORN repeat containing 3	Enables protein-macromolecule adaptor activity. Involved in negative regulation of signal transduction by p53 class mediator. Located in nucleus.	MGI:1922140:Morn3
CHRNA5	HGNC:1959	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	Enables acetylcholine receptor activity. Involved in behavioral response to nicotine. Predicted to be located in postsynaptic membrane and presynapse. Predicted to be part of acetylcholine-gated channel complex. Predicted to be active in several cellular components, including cholinergic synapse; dopaminergic synapse; and neuron projection. Implicated in chronic obstructive pulmonary disease; cocaine abuse; esophagus squamous cell carcinoma; nicotine dependence; and respiratory system cancer (multiple). Biomarker of esophagus squamous cell carcinoma; lung adenocarcinoma; lung large cell carcinoma; lung small cell carcinoma; and lung squamous cell carcinoma.	MGI:87889:Chrna5
TEKT2	HGNC:11725	TEKT2	tektin 2	Predicted to be involved in cilium assembly and flagellated sperm motility. Predicted to act upstream of or within inner dynein arm assembly. Located in axonemal microtubule.	MGI:1346335:Tekt2
