# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 7.4.0
# Date file generated (UTC): 2024-10-09 18:31
Your Input	Gene ID	Gene Symbol	Gene Name	Description	Mus musculus Ortholog
KRT20	HGNC:20412	KRT20	keratin 20	Predicted to enable structural molecule activity. Involved in intermediate filament organization. Located in cytosol and intermediate filament cytoskeleton. Biomarker of colorectal cancer.	MGI:1914059:Krt20
CLRN3	HGNC:20795	CLRN3	clarin 3	Predicted to be involved in sensory perception of sound. Located in extracellular exosome.	MGI:2142022:Clrn3
C3orf70	HGNC:33731	C3orf70	chromosome 3 open reading frame 70	Predicted to be involved in circadian behavior and nervous system development.	MGI:1919440:2510009E07Rik
REP15	HGNC:33748	REP15	RAB15 effector protein	Involved in receptor recycling and transferrin transport. Located in endosome membrane; perinuclear region of cytoplasm; and recycling endosome.	MGI:1913782:Rep15
FCGBP	HGNC:13572	FCGBP	Fc gamma binding protein	Located in extracellular exosome.	MGI:2444336:Fcgbp | MGI:2442118:Fcgbpl1
FAM222A	HGNC:25915	FAM222A	family with sequence similarity 222 member A	No description available	MGI:3605543:Fam222a
AKR1C4	HGNC:387	AKR1C4	aldo-keto reductase family 1 member C4	Enables oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; and retinal dehydrogenase activity. Involved in cellular response to jasmonic acid stimulus; daunorubicin metabolic process; and doxorubicin metabolic process. Located in extracellular exosome. Implicated in 46,XY sex reversal 8.	MGI:1351661:Akr1c12 | MGI:1351662:Akr1c13 | MGI:2653678:Akr1c19 | MGI:2145458:Akr1c14 | MGI:1933427:Akr1c6 | MGI:1924587:Akr1c21 | MGI:2151104:Akr1c20
SLC6A7	HGNC:11054	SLC6A7	solute carrier family 6 member 7	Enables L-proline transmembrane transporter activity and proline:sodium symporter activity. Involved in proline transport and protein catabolic process. Is active in synapse.	MGI:2147363:Slc6a7
PHGR1	HGNC:37226	PHGR1	proline, histidine and glycine rich 1	No description available	MGI:1858382:Phgr1
KLHL32	HGNC:21221	KLHL32	kelch like family member 32	No description available	MGI:3612790:Klhl32
SEPP1	HGNC:10751	SELENOP	selenoprotein P	Predicted to enable selenium binding activity. Predicted to be involved in selenium compound metabolic process. Predicted to act upstream of or within several processes, including brain development; locomotory behavior; and regulation of growth. Located in extracellular exosome. Biomarker of colorectal adenoma; colorectal carcinoma; and systemic scleroderma.	MGI:894288:Selenop
AGR2	HGNC:328	AGR2	anterior gradient 2, protein disulphide isomerase family member	Enables dystroglycan binding activity; epidermal growth factor receptor binding activity; and identical protein binding activity. Involved in several processes, including positive regulation of cell-substrate adhesion; positive regulation of protein localization to plasma membrane; and positive regulation of signal transduction. Located in endoplasmic reticulum and extracellular space. Biomarker of breast cancer; pancreatic ductal adenocarcinoma; and pancreatic ductal carcinoma.	MGI:1344405:Agr2
GMDS	HGNC:4369	GMDS	GDP-mannose 4,6-dehydratase	Enables GDP-mannose 4,6-dehydratase activity; NADP+ binding activity; and identical protein binding activity. Involved in 'de novo' GDP-L-fucose biosynthetic process. Located in extracellular exosome. Implicated in open-angle glaucoma.	MGI:1891112:Gmds
ADGRG7	HGNC:19241	ADGRG7	adhesion G protein-coupled receptor G7	Predicted to enable G protein-coupled receptor activity. Predicted to be involved in adenylate cyclase-activating G protein-coupled receptor signaling pathway. Predicted to be located in membrane. Predicted to be active in plasma membrane.	MGI:2441732:Adgrg7
FFAR4	HGNC:19061	FFAR4	free fatty acid receptor 4	Enables arrestin family protein binding activity. Involved in several processes, including negative regulation of interleukin-1 beta production; phospholipase C-activating G protein-coupled receptor signaling pathway; and white fat cell differentiation. Located in bounding membrane of organelle; cilium; and plasma membrane.	MGI:2147577:Ffar4
CCL15-CCL14	HGNC:44436	CCL15-CCL14	CCL15-CCL14 readthrough (NMD candidate)	Predicted to enable chemokine activity. Predicted to be involved in cell chemotaxis; immune response; and signal transduction. Predicted to be located in extracellular space.	N.A.
ATP8A1	HGNC:13531	ATP8A1	ATPase phospholipid transporting 8A1	Enables phosphatidylserine flippase activity. Involved in aminophospholipid translocation. Located in several cellular components, including Golgi apparatus; cytosol; and endoplasmic reticulum. Part of phospholipid-translocating ATPase complex.	MGI:1330848:Atp8a1
SLC17A4	HGNC:10932	SLC17A4	solute carrier family 17 member 4	Enables thyroid hormone transmembrane transporter activity and urate transmembrane transporter activity. Involved in sodium-dependent phosphate transport. Located in brush border membrane.	MGI:2442850:Slc17a4
JPH1	HGNC:14201	JPH1	junctophilin 1	Predicted to be a structural constituent of muscle. Predicted to be involved in calcium ion transport into cytosol and regulation of ryanodine-sensitive calcium-release channel activity. Predicted to act upstream of or within muscle organ development. Located in nucleoplasm. Implicated in Charcot-Marie-Tooth disease axonal type 2K.	MGI:1891495:Jph1
PDE3B	HGNC:8779	PDE3B	phosphodiesterase 3B	Enables 3',5'-cyclic-AMP phosphodiesterase activity. Involved in several processes, including negative regulation of angiogenesis; negative regulation of lipid catabolic process; and regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction. Located in membrane. Part of guanyl-nucleotide exchange factor complex.	MGI:1333863:Pde3b
GRIP2	HGNC:23841	GRIP2	glutamate receptor interacting protein 2	Predicted to enable glutamate receptor binding activity. Predicted to be involved in several processes, including neurotransmitter receptor transport, endosome to postsynaptic membrane; positive regulation of AMPA glutamate receptor clustering; and positive regulation of excitatory postsynaptic potential. Predicted to act upstream of or within Notch signaling pathway; artery smooth muscle contraction; and positive regulation of blood pressure. Predicted to be located in dendritic shaft and synapse. Predicted to be active in glutamatergic synapse and postsynaptic density, intracellular component.	MGI:2681173:Grip2
B4GALNT2	HGNC:24136	B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)	Enables acetylgalactosaminyltransferase activity. Involved in UDP-N-acetylgalactosamine metabolic process and negative regulation of cell-cell adhesion. Predicted to be located in Golgi membrane.	MGI:1342058:B4galnt2
HES6	HGNC:18254	HES6	hes family bHLH transcription factor 6	Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in anterior/posterior pattern specification; regulation of DNA-templated transcription; and regulation of neurogenesis. Predicted to act upstream of or within cell differentiation and nervous system development. Predicted to be located in chromatin. Predicted to be part of transcription regulator complex. Predicted to be active in nucleus.	MGI:1859852:Hes6
MGAM2	HGNC:28101	MGAM2	maltase-glucoamylase 2 (putative)	Predicted to enable alpha-1,4-glucosidase activity. Predicted to be involved in carbohydrate metabolic process. Predicted to be located in membrane.	MGI:3645497:Mgam2-ps
WNK2	HGNC:14542	WNK2	WNK lysine deficient protein kinase 2	Predicted to enable ATP binding activity and protein serine/threonine kinase activity. Involved in several processes, including positive regulation of sodium ion transmembrane transporter activity; protein autophosphorylation; and regulation of signal transduction. Located in cytosol.	MGI:1922857:Wnk2
RNF186	HGNC:25978	RNF186	ring finger protein 186	Enables ubiquitin protein ligase activity and ubiquitin protein ligase binding activity. Involved in several processes, including intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; proteasome-mediated ubiquitin-dependent protein catabolic process; and protein ubiquitination. Acts upstream of with a positive effect on regulation of autophagosome assembly. Located in endoplasmic reticulum membrane. Is active in endoplasmic reticulum.	MGI:1914075:Rnf186
MYO7B	HGNC:7607	MYO7B	myosin VIIB	Predicted to enable actin filament binding activity and microfilament motor activity. Involved in brush border assembly. Located in brush border and microvillus.	MGI:107709:Myo7b
GNA14	HGNC:4382	GNA14	G protein subunit alpha 14	Predicted to enable G protein-coupled receptor binding activity; G-protein beta/gamma-subunit complex binding activity; and GTPase activity. Predicted to be involved in action potential; adenylate cyclase-modulating G protein-coupled receptor signaling pathway; and phospholipase C-activating dopamine receptor signaling pathway. Located in extracellular exosome.	MGI:95769:Gna14
HEPH	HGNC:4866	HEPH	hephaestin	Enables ferroxidase activity. Predicted to be involved in several processes, including intestinal iron absorption; multicellular organismal-level iron ion homeostasis; and positive regulation of iron export across plasma membrane. Predicted to act upstream of or within erythrocyte differentiation. Is active in basolateral plasma membrane. Biomarker of glaucoma.	MGI:1332240:Heph
RP11-234B24.6	not found
MUC13	HGNC:7511	MUC13	mucin 13, cell surface associated	Enables protein homodimerization activity. Involved in maintenance of gastrointestinal epithelium. Located in apical plasma membrane; cytosol; and extracellular space.	MGI:103190:Muc13
ANG	HGNC:483	ANG	angiogenin	Enables several functions, including heparin binding activity; protein homodimerization activity; and tRNA-specific ribonuclease activity. Involved in several processes, including defense response to symbiont; hematopoietic stem cell proliferation; and stress granule assembly. Acts upstream of or within angiogenesis. Located in several cellular components, including cytoplasmic stress granule; endocytic vesicle; and nucleolus. Part of angiogenin-PRI complex. Is active in cytoplasm and nucleus. Implicated in diabetic retinopathy; myocardial infarction; neurodegenerative disease (multiple); and prostate cancer. Biomarker of several diseases, including ductal carcinoma in situ; eosinophilic esophagitis; female reproductive organ cancer (multiple); neurodegenerative disease (multiple); and urinary system cancer (multiple).	MGI:2656551:Ang4 | MGI:104984:Ang2 | MGI:88022:Ang | MGI:1201793:Ang3 | MGI:3528602:Ang6 | MGI:3528599:Ang5
A1CF	HGNC:24086	A1CF	APOBEC1 complementation factor	Enables enzyme-substrate adaptor activity and single-stranded RNA binding activity. Involved in RNA modification; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; and protein stabilization. Located in cytoplasm and nucleoplasm. Part of apolipoprotein B mRNA editing enzyme complex. Implicated in gout.	MGI:1917115:A1cf
VIL1	HGNC:12690	VIL1	villin 1	Enables several functions, including actin filament binding activity; phospholipid binding activity; and protein homodimerization activity. Involved in several processes, including actin polymerization or depolymerization; regulation of actin filament organization; and regulation of cell morphogenesis. Located in several cellular components, including lamellipodium; microvillus; and ruffle.	MGI:98930:Vil1
TFF3	HGNC:11757	TFF3	trefoil factor 3	Enables identical protein binding activity. Predicted to be involved in maintenance of gastrointestinal epithelium. Located in extracellular region. Biomarker of prostate cancer.	MGI:104638:Tff3
DACH1	HGNC:2663	DACH1	dachshund family transcription factor 1	Enables DNA-binding transcription repressor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in negative regulation of cell migration and negative regulation of nucleobase-containing compound metabolic process. Located in Golgi apparatus; cytosol; and nuclear speck.	MGI:1277991:Dach1
TRPA1	HGNC:497	TRPA1	transient receptor potential cation channel subfamily A member 1	Enables identical protein binding activity; intracellularly gated calcium channel activity; and temperature-gated cation channel activity. Involved in several processes, including cellular response to hydrogen peroxide; protein homotetramerization; and response to cold. Located in plasma membrane. Implicated in familial episodic pain syndrome 1.	MGI:3522699:Trpa1
BTNL8	HGNC:26131	BTNL8	butyrophilin like 8	Predicted to enable signaling receptor binding activity. Predicted to be involved in T cell receptor signaling pathway and regulation of cytokine production. Predicted to be located in plasma membrane. Predicted to be active in external side of plasma membrane.	N.A.
CLDN3	HGNC:2045	CLDN3	claudin 3	Enables identical protein binding activity. Involved in several processes, including positive regulation of macromolecule metabolic process; regulation of cell migration; and regulation of wound healing. Located in bicellular tight junction. Part of protein-containing complex.	MGI:1329044:Cldn3
LRRC75A	HGNC:32403	LRRC75A	leucine rich repeat containing 75A	Predicted to be active in cytoplasm.	MGI:2682293:Lrrc75a
FABP1	HGNC:3555	FABP1	fatty acid binding protein 1	Enables antioxidant activity. Involved in cellular response to hydrogen peroxide; cellular response to hypoxia; and negative regulation of cysteine-type endopeptidase activity involved in apoptotic process. Located in cytosol and nucleoplasm. Biomarker of IgA glomerulonephritis and hypertension.	MGI:95479:Fabp1
TOX	HGNC:18988	TOX	thymocyte selection associated high mobility group box	Predicted to enable chromatin DNA binding activity. Involved in natural killer cell differentiation. Predicted to be active in nucleus.	MGI:2181659:Tox
ATP2A3	HGNC:813	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	Enables several functions, including calcium-dependent ATPase activity; cysteine-type endopeptidase activator activity involved in apoptotic process; and transmembrane transporter binding activity. Involved in several processes, including activation of cysteine-type endopeptidase activity involved in apoptotic process; calcium ion transport from cytosol to endoplasmic reticulum; and intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress. Located in organelle membrane and sarcoplasmic reticulum.	MGI:1194503:Atp2a3
ANXA13	HGNC:536	ANXA13	annexin A13	Enables calcium ion binding activity and phospholipid binding activity. Predicted to be involved in negative regulation of Golgi to plasma membrane protein transport and positive regulation of Golgi to plasma membrane protein transport. Located in nucleoplasm and plasma membrane.	MGI:1917037:Anxa13
PRUNE2	HGNC:25209	PRUNE2	prune homolog 2 with BCH domain	Predicted to enable metal ion binding activity and pyrophosphatase activity. Predicted to be involved in apoptotic process. Located in cytosol.	MGI:1925004:Prune2
MYRFL	HGNC:26316	MYRFL	myelin regulatory factor like	Predicted to enable DNA-binding transcription factor activity and sequence-specific DNA binding activity. Predicted to be involved in positive regulation of DNA-templated transcription and protein autoprocessing. Predicted to be located in membrane. Predicted to be active in endoplasmic reticulum membrane and nucleus.	MGI:2685085:Myrfl
MYO1A	HGNC:7595	MYO1A	myosin IA	Predicted to enable actin filament binding activity and microfilament motor activity. Involved in sensory perception of sound and vesicle localization. Located in several cellular components, including basolateral plasma membrane; brush border; and lateral plasma membrane. Part of filamentous actin. Implicated in sensorineural hearing loss.	MGI:107732:Myo1a
CCL15	Multiple entries : 2
GFRA1	HGNC:4243	GFRA1	GDNF family receptor alpha 1	Enables glial cell-derived neurotrophic factor receptor activity. Involved in glial cell-derived neurotrophic factor receptor signaling pathway. Located in extracellular exosome. Implicated in renal agenesis. Biomarker of Churg-Strauss syndrome and polyarteritis nodosa.	MGI:1100842:Gfra1
MYB	HGNC:7545	MYB	MYB proto-oncogene, transcription factor	Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in hemopoiesis; negative regulation of cell differentiation; and regulation of DNA-templated transcription. Located in cytosol and nucleoplasm. Part of RNA polymerase II transcription regulator complex. Biomarker of B-lymphoblastic leukemia/lymphoma and adult T-cell leukemia/lymphoma.	MGI:97249:Myb
KLK1	HGNC:6357	KLK1	kallikrein 1	Predicted to enable serine-type endopeptidase activity. Predicted to be involved in regulation of systemic arterial blood pressure and zymogen activation. Located in nucleus. Implicated in cardiomyopathy; chronic kidney disease; end stage renal disease; hypertension; and myocardial infarction.	MGI:891982:Klk1b16 | MGI:892018:Klk1b8 | MGI:95291:Klk1b22 | MGI:892022:Klk1b21 | MGI:97320:Klk1b4 | MGI:892021:Klk1b24 | MGI:891980:Klk1b27 | MGI:892020:Klk1b5 | MGI:97322:Klk1b3 | MGI:95292:Egfbp2 | MGI:95293:Klk1b9 | MGI:892023:Klk1b11 | MGI:102850:Klk1 | MGI:891981:Klk1b26 | MGI:892019:Klk1b1
AGMAT	HGNC:18407	AGMAT	agmatinase (putative)	Enables arginase activity; guanidinobutyrase activity; and guanidinopropionase activity. Predicted to be involved in putrescine biosynthetic process from arginine, using agmatinase. Located in mitochondrion.	MGI:1923236:Agmat
ME1	Multiple entries : 2
GPRIN3	HGNC:27733	GPRIN3	GPRIN family member 3	Predicted to be involved in neuron projection development. Predicted to be active in plasma membrane.	MGI:1924785:Gprin3
CHN2	Multiple entries : 2
FOXA2	HGNC:5022	FOXA2	forkhead box A2	Enables DNA-binding transcription factor activity and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Involved in several processes, including dopaminergic neuron differentiation; negative regulation of epithelial to mesenchymal transition; and regulation of DNA-templated transcription. Located in cell junction and nucleoplasm. Implicated in type 2 diabetes mellitus. Biomarker of lung non-small cell carcinoma.	MGI:1347476:Foxa2
HMGCS2	HGNC:5008	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	Enables hydroxymethylglutaryl-CoA synthase activity and identical protein binding activity. Involved in acetyl-CoA metabolic process and ketone body biosynthetic process. Located in mitochondrion. Implicated in HMG-CoA synthase 2 deficiency. Biomarker of hepatocellular carcinoma.	MGI:101939:Hmgcs2
FAR2	HGNC:25531	FAR2	fatty acyl-CoA reductase 2	Enables alcohol-forming very long-chain fatty acyl-CoA reductase activity. Involved in long-chain fatty-acyl-CoA metabolic process. Located in peroxisomal membrane.	MGI:2687035:Far2
LRRIQ4	HGNC:34298	LRRIQ4	leucine rich repeats and IQ motif containing 4	Predicted to be active in cytoplasm.	MGI:1915557:Lrriq4
RAP1GAP	HGNC:9858	RAP1GAP	RAP1 GTPase activating protein	Enables GTPase activator activity; protein homodimerization activity; and small GTPase binding activity. Involved in negative regulation of microvillus assembly and positive regulation of GTPase activity. Located in cytosol and membrane. Biomarker of bipolar disorder; endocrine gland cancer (multiple); focal segmental glomerulosclerosis; melanoma; and myelodysplastic syndrome.	MGI:109338:Rap1gap
MOGAT3	HGNC:23249	MOGAT3	monoacylglycerol O-acyltransferase 3	Enables 2-acylglycerol O-acyltransferase activity and diacylglycerol O-acyltransferase activity. Involved in monoacylglycerol biosynthetic process and triglyceride biosynthetic process. Located in perinuclear endoplasmic reticulum membrane.	N.A.
SLC39A5	HGNC:20502	SLC39A5	solute carrier family 39 member 5	Predicted to enable monoatomic cation:bicarbonate symporter activity and zinc ion transmembrane transporter activity. Involved in BMP signaling pathway and eye development. Located in extracellular exosome. Implicated in myopia.	MGI:1919336:Slc39a5
ACPP	HGNC:125	ACP3	acid phosphatase 3	Enables molecular adaptor activity; phosphatase activity; and protein homodimerization activity. Involved in several processes, including adenosine metabolic process; positive regulation of adenosine receptor signaling pathway; and regulation of sensory perception of pain. Located in extracellular space and plasma membrane. Implicated in prostate cancer. Biomarker of prostate cancer.	MGI:1928480:Acp3
VIPR1	HGNC:12694	VIPR1	vasoactive intestinal peptide receptor 1	Enables peptide hormone binding activity and vasoactive intestinal polypeptide receptor activity. Involved in G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger. Part of receptor complex. Implicated in achalasia. Biomarker of Crohn's disease and ulcerative colitis.	MGI:109272:Vipr1
FRMD3	HGNC:24125	FRMD3	FERM domain containing 3	Predicted to enable cytoskeletal protein binding activity. Predicted to be involved in actomyosin structure organization. Predicted to be located in membrane. Predicted to be active in cytoskeleton.	MGI:2442466:Frmd3
NOX1	HGNC:7889	NOX1	NADPH oxidase 1	Enables small GTPase binding activity and superoxide-generating NAD(P)H oxidase activity. Involved in several processes, including hydrogen peroxide metabolic process; positive regulation of macromolecule biosynthetic process; and superoxide anion generation. Located in early endosome and plasma membrane. Part of NADPH oxidase complex. Biomarker of multiple myeloma.	MGI:2450016:Nox1
TPH1	HGNC:12008	TPH1	tryptophan hydroxylase 1	Predicted to enable tryptophan 5-monooxygenase activity. Predicted to be involved in platelet degranulation; regulation of hemostasis; and serotonin biosynthetic process. Predicted to act upstream of or within bone remodeling; mammary gland alveolus development; and positive regulation of fat cell differentiation. Predicted to be located in cytosol. Predicted to be active in neuron projection. Implicated in several diseases, including alcohol use disorder; attention deficit hyperactivity disorder; borderline personality disorder; depressive disorder (multiple); and scoliosis.	MGI:98796:Tph1
CBFA2T3	HGNC:1537	CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3	Predicted to enable chromatin binding activity and transcription corepressor activity. Involved in several processes, including negative regulation of DNA-templated transcription; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; and regulation of generation of precursor metabolites and energy. Acts upstream of or within granulocyte differentiation. Located in nucleoplasm.	MGI:1338013:Cbfa2t3
TM4SF20	HGNC:26230	TM4SF20	transmembrane 4 L six family member 20	Involved in negative regulation of proteolysis. Located in endoplasmic reticulum membrane; focal adhesion; and plasma membrane. Implicated in specific language impairment.	MGI:1913511:Tm4sf20
NCR3LG1	HGNC:42400	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	Enables receptor ligand activity. Involved in NK T cell activation. Is active in plasma membrane.	N.A.
IL23R	HGNC:19100	IL23R	interleukin 23 receptor	Enables cytokine receptor activity. Contributes to interleukin-12 receptor binding activity; interleukin-23 binding activity; and interleukin-23 receptor activity. Involved in several processes, including interleukin-23-mediated signaling pathway; positive regulation of defense response to virus by host; and regulation of cytokine production. Part of interleukin-23 receptor complex. Is active in cell surface. Implicated in several diseases, including autoimmune disease (multiple); bone disease (multiple); inflammatory bowel disease (multiple); pulmonary hypertension; and systemic scleroderma. Biomarker of Sjogren's syndrome and systemic lupus erythematosus.	MGI:2181693:Il23r
CHP2	HGNC:24927	CHP2	calcineurin like EF-hand protein 2	Enables calcium ion binding activity. Involved in several processes, including positive regulation of calcineurin-NFAT signaling cascade; positive regulation of phosphatase activity; and positive regulation of protein import into nucleus. Located in cytosol; nuclear lumen; and plasma membrane.	MGI:1917511:Chp2
BCL2L14	HGNC:16657	BCL2L14	BCL2 like 14	Enables protein kinase binding activity. Involved in apoptotic process and positive regulation of extrinsic apoptotic signaling pathway. Located in cytosol. Biomarker of prostate carcinoma.	MGI:1914063:Bcl2l14
MYRIP	HGNC:19156	MYRIP	myosin VIIA and Rab interacting protein	Predicted to enable actin binding activity and myosin binding activity. Predicted to be involved in positive regulation of insulin secretion. Predicted to be located in dense core granule and perinuclear region of cytoplasm. Predicted to be part of exocyst. Predicted to be active in cortical actin cytoskeleton.	MGI:2384407:Myrip
HOXB13	HGNC:5112	HOXB13	homeobox B13	Enables DNA-binding transcription repressor activity, RNA polymerase II-specific; methyl-CpG binding activity; and sequence-specific double-stranded DNA binding activity. Involved in angiogenesis and negative regulation of transcription by RNA polymerase II. Located in nucleoplasm. Implicated in ductal carcinoma in situ and renal cell carcinoma. Biomarker of cervical cancer; endometrial cancer; and prostate cancer.	MGI:107730:Hoxb13
DLL4	HGNC:2910	DLL4	delta like canonical Notch ligand 4	Enables Notch binding activity and receptor ligand activity. Involved in several processes, including aortic valve morphogenesis; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis; and negative regulation of cell migration involved in sprouting angiogenesis. Predicted to be located in membrane. Predicted to be active in plasma membrane. Implicated in Adams-Oliver syndrome and limb ischemia. Biomarker of several diseases, including diabetic retinopathy; hemangioblastoma; hemangiopericytoma; renal cell carcinoma; and varicose veins.	MGI:1859388:Dll4
RP11-26J3.4	not found
TLDC2	HGNC:16112	TLDC2	TBC/LysM-associated domain containing 2	Predicted to be involved in response to oxidative stress. Predicted to act upstream of or within negative regulation of cellular response to oxidative stress. Predicted to be active in nucleus.	MGI:2686178:Tldc2
PROX1	HGNC:9459	PROX1	prospero homeobox 1	Enables several functions, including DNA-binding transcription repressor activity, RNA polymerase II-specific; nuclear receptor binding activity; and protein domain specific binding activity. Involved in several processes, including embryonic retina morphogenesis in camera-type eye; epithelial cell differentiation; and regulation of DNA-templated transcription. Located in cytosol and nucleoplasm.	MGI:97772:Prox1
CRACR2A	HGNC:28657	CRACR2A	calcium release activated channel regulator 2A	Enables GTPase activity and calcium ion binding activity. Involved in several processes, including activation of store-operated calcium channel activity; positive regulation of JNK cascade; and store-operated calcium entry. Located in several cellular components, including Golgi apparatus; Weibel-Palade body; and immunological synapse.	MGI:2685919:Cracr2a
CASP5	HGNC:1506	CASP5	caspase 5	Enables cysteine-type endopeptidase activity. Involved in cellular response to mechanical stimulus and protein maturation. Part of NLRP1 inflammasome complex. Biomarker of Alzheimer's disease.	MGI:107700:Casp4
